Voltage,Current,Concentration
-0.50017,8.06396,200
-0.50017,13.2719,400
-0.50017,20.4399,600
-0.50017,27.5519,800
-0.50017,32.7599,1000
-0.489963,7.89596,200
-0.489963,12.4879,400
-0.489963,18.7039,600
-0.489963,23.1839,800
-0.489963,27.8319,1000
-0.479755,7.89596,200
-0.479755,11.9839,400
-0.479755,17.5279,600
-0.479755,20.5519,800
-0.479755,24.6959,1000
-0.469548,7.95196,200
-0.469548,11.6199,400
-0.469548,16.5759,600
-0.469548,18.7039,800
-0.469548,22.5679,1000
-0.45934,8.09196,200
-0.45934,11.3959,400
-0.45934,15.8479,600
-0.45934,17.4439,800
-0.45934,20.9999,1000
-0.449133,8.06396,200
-0.449133,11.032,400
-0.449133,15.0079,600
-0.449133,16.2119,800
-0.449133,19.4039,1000
-0.438925,8.00796,200
-0.438925,10.57,400
-0.438925,14.1679,600
-0.438925,15.0359,800
-0.438925,17.9479,1000
-0.428717,8.07796,200
-0.428717,10.318,400
-0.428717,13.6359,600
-0.428717,14.3359,800
-0.428717,17.0519,1000
-0.41851,8.04996,200
-0.41851,9.99596,400
-0.41851,13.0199,600
-0.41851,13.5239,800
-0.41851,15.9879,1000
-0.408302,7.92396,200
-0.408302,9.58996,400
-0.408302,12.3199,600
-0.408302,12.6279,800
-0.408302,14.7839,1000
-0.398095,7.90296,200
-0.398095,9.35196,400
-0.398095,11.8859,600
-0.398095,12.0679,800
-0.398095,14.0559,1000
-0.387887,7.81897,200
-0.387887,9.11396,400
-0.387887,11.4519,600
-0.387887,11.4939,800
-0.387887,13.4399,1000
-0.37768,7.64397,200
-0.37768,8.77796,400
-0.37768,10.878,600
-0.37768,10.836,800
-0.37768,12.8659,1000
-0.367472,7.51797,200
-0.367472,8.51196,400
-0.367472,10.444,600
-0.367472,10.29,800
-0.367472,12.4459,1000
-0.357264,7.46197,200
-0.357264,8.39996,400
-0.357264,10.199,600
-0.357264,9.95396,800
-0.357264,12.2079,1000
-0.347057,7.32197,200
-0.347057,8.21796,400
-0.347057,9.85596,600
-0.347057,9.50596,800
-0.347057,11.7599,1000
-0.336849,7.11197,200
-0.336849,7.93796,400
-0.336849,9.43596,600
-0.336849,9.02996,800
-0.336849,11.1859,1000
-0.326642,7.05247,200
-0.326642,7.88196,400
-0.326642,9.32396,600
-0.326642,8.81296,800
-0.326642,10.99,1000
-0.316434,6.90547,200
-0.316434,7.74197,400
-0.316434,9.08596,600
-0.316434,8.52596,800
-0.316434,10.703,1000
-0.306227,6.71297,200
-0.306227,7.49697,400
-0.306227,8.72896,600
-0.306227,8.20396,800
-0.306227,9.97496,1000
-0.296019,6.61497,200
-0.296019,7.38847,400
-0.296019,8.56096,600
-0.296019,8.06396,800
-0.296019,10.094,1000
-0.285811,6.52047,200
-0.285811,7.29397,400
-0.285811,8.46646,600
-0.285811,7.96596,800
-0.285811,9.92596,1000
-0.275604,6.35947,200
-0.275604,7.12947,400
-0.275604,8.25296,600
-0.275604,7.77696,800
-0.275604,9.63196,1000
-0.265396,6.19497,200
-0.265396,6.95797,400
-0.265396,8.06396,600
-0.265396,7.65447,800
-0.265396,9.35896,1000
-0.255189,6.12847,200
-0.255189,6.91597,400
-0.255189,8.03596,600
-0.255189,7.66847,800
-0.255189,9.33796,1000
-0.244981,6.00597,200
-0.244981,6.80047,400
-0.244981,7.89946,600
-0.244981,7.58797,800
-0.244981,9.19446,1000
-0.234774,5.84147,200
-0.234774,6.60097,400
-0.234774,7.67197,600
-0.234774,7.43397,800
-0.234774,8.95646,1000
-0.224566,5.79947,200
-0.224566,6.55897,400
-0.224566,7.63347,600
-0.224566,7.49347,800
-0.224566,8.96346,1000
-0.214358,5.72947,200
-0.214358,6.49072,400
-0.214358,7.55997,600
-0.214358,7.50047,800
-0.214358,8.91796,1000
-0.204151,5.60173,200
-0.204151,6.36472,400
-0.204151,7.38847,600
-0.204151,7.41647,800
-0.204151,8.75346,1000
-0.193943,5.52473,200
-0.193943,6.32447,400
-0.193943,7.35347,600
-0.193943,7.43397,800
-0.193943,8.71496,1000
-0.183736,5.49323,200
-0.183736,6.32622,400
-0.183736,7.36747,600
-0.183736,7.51097,800
-0.183736,8.50496,1000
-0.173528,5.41973,200
-0.173528,6.26672,400
-0.173528,7.30097,600
-0.173528,7.49697,800
-0.173528,8.46646,1000
-0.163321,5.34973,200
-0.163321,6.20897,400
-0.163321,7.25197,600
-0.163321,7.51097,800
-0.163321,8.69396,1000
-0.153113,5.37598,200
-0.153113,6.28072,400
-0.153113,7.36572,600
-0.153113,7.71397,800
-0.153113,8.858460000000001,1000
-0.142905,5.36198,200
-0.142905,6.30872,400
-0.142905,7.40772,600
-0.142905,7.83821,800
-0.142905,8.92496,1000
-0.132698,5.31123,200
-0.132698,6.31397,400
-0.132698,7.42522,600
-0.132698,7.90121,800
-0.132698,8.91096,1000
-0.12249,5.36898,200
-0.12249,6.51172,400
-0.12249,7.70872,600
-0.12249,8.21621,800
-0.12249,9.14196,1000
-0.112283,5.44335,200
-0.112283,6.73047,400
-0.112283,8.02896,600
-0.112283,8.53996,800
-0.112283,9.39746,1000
-0.102075,5.48798,200
-0.102075,6.93172,400
-0.102075,8.34221,600
-0.102075,8.80771,800
-0.102075,9.59346,1000
-0.0918681,5.61573,200
-0.0918681,7.26772,400
-0.0918681,8.84446,600
-0.0918681,9.23121,800
-0.0918681,9.93646,1000
-0.0816606,5.83535,200
-0.0816606,7.72097,400
-0.0816606,9.54796,600
-0.0816606,9.82971,800
-0.0816606,10.4562,1000
-0.071453,6.01735,200
-0.071453,8.17946,400
-0.071453,10.2445,600
-0.071453,10.4247,800
-0.071453,10.9392,1000
-0.0612454,6.18535,200
-0.0612454,8.66946,400
-0.0612454,10.9532,600
-0.0612454,11.081,800
-0.0612454,11.4467,1000
-0.0510379,6.51172,200
-0.0510379,9.37471,400
-0.0510379,11.9437,600
-0.0510379,12.0487,800
-0.0510379,12.2587,1000
-0.0408303,6.78297,200
-0.0408303,10.0012,400
-0.0408303,12.8432,600
-0.0408303,12.9814,800
-0.0408303,13.0724,1000
-0.0306227,6.96234,200
-0.0306227,10.4965,400
-0.0306227,13.5554,600
-0.0306227,13.8179,800
-0.0306227,13.8704,1000
-0.0204151,7.24497,200
-0.0204151,11.1125,400
-0.0204151,14.3989,600
-0.0204151,14.8522,800
-0.0204151,14.9099,1000
-0.0102076,7.46547,200
-0.0102076,11.6112,400
-0.0102076,15.1007,600
-0.0102076,15.8164,800
-0.0102076,16.0054,1000
0.0,7.52234,200
0.0,11.8562,400
0.0,15.4472,600
0.0,16.5164,800
0.0,17.0134,1000
0.0102076,7.57922,200
0.0102076,12.0644,400
0.0102076,15.6519,600
0.0102076,17.1779,800
0.0102076,18.0354,1000
0.0204151,7.71922,200
0.0204151,12.3409,400
0.0204151,15.9197,600
0.0204151,17.9199,800
0.0204151,19.1974,1000
0.0306227,7.71747,200
0.0306227,12.3637,400
0.0306227,15.8969,600
0.0306227,18.3504,800
0.0306227,20.1879,1000
0.0408303,7.69756,200
0.0408303,12.1834,400
0.0408303,15.5224,600
0.0408303,18.4624,800
0.0408303,21.0069,1000
0.0510379,7.69909,200
0.0510379,12.2972,400
0.0510379,15.6309,600
0.0510379,18.9349,800
0.0510379,22.0604,1000
0.0612454,7.65447,200
0.0612454,12.1939,400
0.0612454,15.4279,600
0.0612454,19.0714,800
0.0612454,22.9179,1000
0.071453,7.49697,200
0.071453,11.8404,400
0.071453,14.9239,600
0.071453,18.8159,800
0.071453,23.4639,1000
0.0816606,7.47509,200
0.0816606,11.7074,400
0.0816606,14.6597,600
0.0816606,18.7109,800
0.0816606,24.1079,1000
0.0918681,7.44359,200
0.0918681,11.5027,400
0.0918681,14.3412,600
0.0918681,18.4519,800
0.0918681,24.6854,1000
0.102075,7.27734,200
0.102075,11.025,400
0.102075,13.6517,600
0.102075,17.6959,800
0.102075,24.8254,1000
0.112283,7.07872,200
0.112283,10.4667,400
0.112283,12.8729,600
0.112283,16.7264,800
0.112283,24.6679,1000
0.12249,6.93259,200
0.12249,10.0012,400
0.12249,12.3112,600
0.12249,15.9354,800
0.12249,23.9294,1000
0.132698,6.67797,200
0.132698,9.36246,400
0.132698,11.5044,600
0.132698,14.7699,800
0.132698,23.6949,1000
0.142905,6.3726,200
0.142905,8.64146,400
0.142905,10.598,600
0.142905,13.3909,800
0.142905,22.2704,1000
0.153113,6.25447,200
0.153113,8.25996,400
0.153113,10.1202,600
0.153113,12.5439,800
0.153113,21.1014,1000
0.163321,6.11097,200
0.163321,7.88721,400
0.163321,9.65296,600
0.163321,11.6969,800
0.163321,19.6489,1000
0.173528,5.94735,200
0.173528,7.51797,400
0.173528,9.17171,600
0.173528,10.8622,800
0.173528,17.9374,1000
0.183736,5.8721,200
0.183736,7.34647,400
0.183736,8.93021,600
0.183736,10.3425,800
0.183736,16.5094,1000
0.193943,5.85372,200
0.193943,7.29922,400
0.193943,8.88121,600
0.193943,10.0712,800
0.193943,15.3299,1000
0.204151,5.83535,200
0.204151,7.23359,400
0.204151,8.81996,600
0.204151,9.79996,800
0.204151,14.1749,1000
0.214358,5.84585,200
0.214358,7.19334,400
0.214358,8.80771,600
0.214358,9.62846,800
0.214358,13.1774,1000
0.224566,5.9806,200
0.224566,7.34122,400
0.224566,9.02646,600
0.224566,9.75796,800
0.224566,12.7312,1000
0.234774,6.0821,200
0.234774,7.44009,400
0.234774,9.17346,600
0.234774,9.81221,800
0.234774,12.3182,1000
0.244981,6.14072,200
0.244981,7.47509,400
0.244981,9.22946,600
0.244981,9.77196,800
0.244981,11.6024,1000
0.255189,6.29647,200
0.255189,7.65972,400
0.255189,9.47971,600
0.255189,9.99246,800
0.255189,11.8509,1000
0.265396,6.4496,200
0.265396,7.83297,400
0.265396,9.69496,600
0.265396,10.1902,800
0.265396,11.8422,1000
0.275604,6.56422,200
0.275604,7.91697,400
0.275604,9.81396,600
0.275604,10.2725,800
0.275604,11.7284,1000
0.285811,6.71647,200
0.285811,8.05171,400
0.285811,10.031,600
0.285811,10.4387,800
0.285811,11.7442,1000
0.296019,6.92909,200
0.296019,8.28446,400
0.296019,10.3617,600
0.296019,10.7397,800
0.296019,11.9297,1000
0.306227,6.93959,200
0.306227,8.44546,400
0.306227,10.5997,600
0.306227,10.941,800
0.306227,12.0242,1000
0.316434,7.17759,200
0.316434,8.55221,400
0.316434,10.7642,600
0.316434,11.0897,800
0.316434,11.7949,1000
0.326642,7.40159,200
0.326642,8.86546,400
0.326642,11.2017,600
0.326642,11.5342,800
0.326642,12.3917,1000
0.336849,7.59059,200
0.336849,9.10171,400
0.336849,11.5202,600
0.336849,11.8772,800
0.336849,12.6262,1000
0.347057,7.71659,200
0.347057,9.24696,400
0.347057,11.7179,600
0.347057,12.1134,800
0.347057,12.4722,1000
0.357264,7.93972,200
0.357264,9.52871,400
0.357264,12.1204,600
0.357264,12.5667,800
0.357264,13.0637,1000
0.367472,8.17071,200
0.367472,9.83321,400
0.367472,12.5492,600
0.367472,13.0269,800
0.367472,13.4382,1000
0.37768,8.30546,200
0.37768,10.0485,400
0.37768,12.8397,600
0.37768,13.3419,800
0.37768,13.7024,1000
0.387887,8.44721,200
0.387887,10.2847,400
0.387887,13.1582,600
0.387887,13.6832,800
0.387887,14.0034,1000
0.398095,8.68346,200
0.398095,10.6645,400
0.398095,13.6622,600
0.398095,14.2344,800
0.398095,14.4882,1000
0.408302,8.84796,200
0.408302,10.948,400
0.408302,14.0174,600
0.408302,14.6334,800
0.408302,14.8434,1000
0.41851,8.92496,200
0.41851,11.1142,400
0.41851,14.2152,600
0.41851,14.8854,800
0.41851,15.0359,1000
0.428717,9.18221,200
0.428717,11.5237,400
0.428717,14.7297,600
0.428717,15.4927,800
0.428717,15.5522,1000
0.438925,9.35546,200
0.438925,11.8719,400
0.438925,15.1269,600
0.438925,15.9984,800
0.438925,15.9739,1000
0.449133,9.43246,200
0.449133,12.1169,400
0.449133,15.3929,600
0.449133,16.3519,800
0.449133,16.2434,1000
0.45934,9.62321,200
0.45934,12.5054,400
0.45934,15.8619,600
0.45934,16.8944,800
0.45934,16.6739,1000
0.469548,9.85596,200
0.469548,12.9797,400
0.469548,16.4184,600
0.469548,17.5209,800
0.469548,17.2129,1000
0.479755,10.0222,200
0.479755,13.3682,400
0.479755,16.8664,600
0.479755,17.9899,800
0.479755,17.5699,1000
0.489963,10.2042,200
0.489963,13.7567,400
0.489963,17.3179,600
0.489963,18.4869,800
0.489963,17.8989,1000
0.50017,10.542,200
0.50017,14.3709,400
0.50017,18.0949,600
0.50017,19.3724,800
0.50017,18.5254,1000
