Peak_Height,Peak_Potential,Area_Under_Curve,Mean_Current,Std_Current,Skew_Current,Kurtosis_Current,Voltage_Range,Voltage_Centroid,SNR,FWHM,Max_dI/dV,Max_d2I/dV2,Concentration
27.033878,0.102075,15.107802016798512,15.136097303030304,6.7426079871705875,0.1346782507500528,-1.2850060496333817,1.00034,0.08501171207312103,4.009409719716521,1.00034,120.43703839405464,9406.440418803373,5
31.13586,0.091868136,16.831369062247575,16.87851492929293,7.601557633757443,0.20416845337264947,-1.129983602206081,1.00034,0.07858822167430007,4.095984204833237,1.00034,162.52565497958858,11422.091349969676,10
29.347368,0.102075,16.203703363716976,16.259875232323232,6.985385107560553,0.20567891049533024,-1.14308136921902,1.00034,0.07371792601148708,4.20125269374715,1.00034,143.66724891428612,11959.585083139393,15
21.846902,0.102075,13.243703384442467,13.29469033333333,5.306361122067427,-0.07335931095178351,-1.4471029552378687,1.00034,0.07829453689920732,4.117115570809128,1.00034,94.72092770365532,9473.666523315676,20
18.927914,-0.50017,12.336613803153401,12.396254767676767,4.705067807852482,-0.22999976649552692,-1.6276749584047092,1.00034,0.08061406750969984,4.022878048305791,1.00034,84.34882151187787,8600.204001706235,25
17.475422,0.50017,10.894211303166113,10.952484777777777,3.9529482537000007,-0.1844408886370913,-1.5904321823588141,1.00034,0.07903585492202982,4.420857769550315,1.00034,67.63328588488747,6853.281358114532,30
18.25242,0.50017,11.26630914405575,11.322643484848484,4.296716210674109,-0.1760806859575286,-1.624688684678425,1.00034,0.08618218343998674,4.247992910180212,1.00034,72.305112774147,7256.406798219906,35
17.415922,-0.50017,10.46467345048099,10.529782101010102,3.6385684352342804,-0.1458217921961147,-1.3963663010469145,1.00034,0.06934069179661302,4.7864764151065415,1.00034,65.4938767512491,7659.5453363688375,40
17.191922,-0.50017,9.867249788854657,9.93772793939394,3.47909040666452,-0.007219897007041703,-1.1736892712820113,1.00034,0.06886750673996844,4.9414990674192545,1.00034,70.98060154795729,6718.946525369298,45
16.726424,0.50017,9.401674280404448,9.468632787878786,3.3765279807461654,0.02256968080030924,-1.1718307663193384,1.00034,0.0714455778959332,4.953734752200601,1.00034,73.72332712844133,6047.053305862078,50
16.575926,0.50017,9.116436226642534,9.183065949494948,3.3495369667953563,0.11394666359829458,-1.0654907363873258,1.00034,0.07507213884359171,4.948721618635811,1.00034,68.23709219163302,5375.191213572469,55
17.051922,0.50017,9.09150788953383,9.158822414141415,3.416058742913609,0.14553419212914653,-1.0527350628659076,1.00034,0.07519275222904312,4.991694605771373,1.00034,82.98177721171724,5173.070254381732,60
16.736925,0.50017,9.164246203311544,9.232604878787878,3.4323981497918523,0.06497286686069954,-1.1619103242827091,1.00034,0.0715466642719647,4.876160710264618,1.00034,83.66767904379317,6114.23868535317,65
17.359924,-0.50017,9.36783178357805,9.438909525252525,3.3148479684088463,0.07583944067496746,-1.1138984430725956,1.00034,0.05968712900811816,5.23701966589222,1.00034,84.01067894582135,8197.065463792365,70
15.847928,-0.50017,8.486465604617976,8.553254363636363,2.847292600326569,0.18241796220758152,-0.8376009004667848,1.00034,0.05698941036780459,5.565963961056314,1.00034,73.03771921230523,6450.164349144481,75
16.995924,0.50017,9.45056502786481,9.520637646464646,3.5140079728288605,0.05045507943863951,-1.1974406674656124,1.00034,0.06851409258957927,4.836620784988678,1.00034,88.8112079945131,6718.932194601873,80
17.69592,-0.50017,9.36852806792403,9.445290797979798,3.459152589125303,0.1453465506054905,-1.0506307084678326,1.00034,0.06115871735311669,5.1156806599487625,1.00034,100.1268737141176,9272.024202541423,85
17.450922,0.50017,8.88112482257667,8.94982209090909,3.5719606236824477,0.16293099708228972,-1.005124974003894,1.00034,0.08467402213263084,4.885530339919954,1.00034,92.24022729499316,6181.395337018816,90
17.800918,0.50017,9.360105791418592,9.43943102020202,3.7136665334824137,0.11993833102004198,-1.0634808439040733,1.00034,0.07304636099388616,4.793353910348961,1.00034,100.1265797981776,8062.674342534637,95
16.316928,0.50017,8.236067260740352,8.304638386363637,3.3687222881355456,0.22188108942929227,-0.9037548102400059,1.00034,0.08397609920702867,4.8436548353859035,1.00034,82.6390712256294,5912.650253464172,100
16.299425,0.50017,8.181051162345762,8.248693777777778,3.4026172261400713,0.25994559492110125,-0.8832455965238943,1.00034,0.08698522819264153,4.790261118641919,1.00034,79.89556186930514,5307.977106491001,105
16.505926,0.50017,8.316729983441753,8.390222181818181,3.430035350176526,0.21862756959367932,-0.8851965630873955,1.00034,0.08028347154971185,4.812173728515808,1.00034,87.78269814832927,6047.062903900786,110
14.804934,0.50017,7.526041530158597,7.5878817777777785,3.119652616022759,0.17950011224861404,-0.9900817975970857,1.00034,0.08484687964983763,4.745699544866246,1.00034,73.8950720094051,5307.9579769393185,115
14.111937,-0.50017,7.209225111058609,7.275256181818181,2.8791641802367325,0.20608651850105647,-0.8288341187319661,1.00034,0.07117065358009132,4.9014005859296566,1.00034,70.98030763201712,5576.7317880843375,120
14.503936,-0.50017,7.3350976441878055,7.401971636363637,2.8623464393287277,0.20202867070192315,-0.8042889204752623,1.00034,0.06810406632773955,5.067149035740564,1.00034,72.00901342216117,6181.413300137286,125
13.651688,0.50017,6.892967878446203,6.952762727272726,2.874600353293317,0.20408614766446545,-0.9086110100696225,1.00034,0.08214834272697075,4.749073374446572,1.00034,68.40854315665698,4098.6081169325535,130
13.781188,0.50017,7.038570177073594,7.097499444444447,2.90106309491767,0.17162951814963165,-0.9534523835823268,1.00034,0.08253262043738052,4.7503923731073145,1.00034,67.89428823356506,4636.086286611003,135
13.235191,0.50017,6.744713014689955,6.80140613131313,2.7900671981689,0.18346838586900735,-0.940100715926139,1.00034,0.08297789450249031,4.743681804039041,1.00034,65.15107279318097,4031.404774558061,140
13.450439,0.50017,6.502586980460394,6.56543996969697,2.7398967549260385,0.4379186704733201,-0.5460758979459368,1.00034,0.07600564751849857,4.909104321473998,1.00034,67.55128833153705,4232.953714149706,145
14.447934,-0.50017,6.831768278266916,6.902622808080807,2.7981909808406047,0.4772608089574221,-0.3696876064774539,1.00034,0.06370131475693043,5.163312332476926,1.00034,68.57999412168111,5106.412603408084,150
